suburb_name,NH_geometry,f0_
Mengha,"POLYGON((145.239714997119 -40.893994874088, 145.239715001402 -40.8938916267352, 145.239505002877 -40.8938916260425, 145.239364997125 -40.8939948745248, 145.239295006428 -40.8940981260066, 145.239224995598 -40.8944078751603, 145.23922499338 -40.8945111243698, 145.239224994973 -40.8946143728636, 145.23929500437 -40.8946143731215, 145.239645004486 -40.8940981264992, 145.239714997119 -40.893994874088))",POINT(145.239435465328 -40.8941951838752)
Hobart,"POLYGON((147.329848124999 -42.8815414432293, 147.329848125032 -42.8790496032922, 147.323315625133 -42.8815414432058, 147.323315625084 -42.8840332880736, 147.326581874954 -42.8840332880441, 147.329848124999 -42.8815414432293))",POINT(147.326581918084 -42.881873713368)
Spreyton,"POLYGON((146.352126565027 -41.2187251397773, 146.346221189995 -41.2144838897723, 146.346221189974 -41.2187251397739, 146.346221190027 -41.2272076396608, 146.352126565027 -41.2187251397773))",POINT(146.348189690859 -41.2201389232208)
Youngtown,"POLYGON((147.169981000025 -41.4861287639635, 147.169981000041 -41.4837962638931, 147.169981000008 -41.4814637638608, 147.169980999973 -41.4791312640002, 147.165587000025 -41.4767987638133, 147.165586999986 -41.4791312640282, 147.165586999953 -41.4814637638302, 147.165586999957 -41.4837962638848, 147.169981000025 -41.4861287639635))",POINT(147.167783973574 -41.4814637289233)
Montello,"POLYGON((145.898772534892 -41.0581203551463, 145.898772534897 -41.0566443456721, 145.897015710031 -41.0566443456068, 145.893502059922 -41.0566443456221, 145.893502059829 -41.0581203554869, 145.898772534892 -41.0581203551463))",POINT(145.896137299726 -41.0573823710355)
Kings Meadows,"POLYGON((147.16904093999 -41.4728216153723, 147.159585684947 -41.4629938753037, 147.154858060071 -41.4662697903522, 147.154858060086 -41.4695457055446, 147.159585684975 -41.4728216153368, 147.16904093999 -41.4728216153723))",POINT(147.160688579222 -41.4688905618731)
Lower Wattle Grove,"LINESTRING(147.003582500087 -43.1456291962677, 147.01591907429 -43.1502161739365, 147.028257500048 -43.1548018260565)",POINT(147.01591907429 -43.1502161739365)
Eugenana,POINT(146.309780369914 -41.2258414003203),POINT(146.309780369914 -41.2258414003203)
Yolla,"POLYGON((145.723527184995 -41.1597314819513, 145.719866559926 -41.1243324820161, 145.716205934919 -41.1243324819909, 145.712545310093 -41.1293894819921, 145.716205934897 -41.1597314819557, 145.723527184995 -41.1597314819513))",POINT(145.71803568435 -41.1424520574585)
Ambleside,"POLYGON((146.37615403505 -41.2032614472378, 146.374095045008 -41.2032614472823, 146.372036054984 -41.2032614472735, 146.369977064941 -41.203261447259, 146.374095044929 -41.2056595474683, 146.37615403505 -41.2032614472378))",POINT(146.373408699674 -41.2040608261488)
Middleton (Tas.),"POLYGON((147.256066875067 -43.2377843835801, 147.25606687509 -43.2353181333747, 147.256066875099 -43.2328518835773, 147.256066875075 -43.2279193832873, 147.252140624896 -43.2254531335685, 147.252140624869 -43.2279193833451, 147.252140624892 -43.2303856334571, 147.252140624947 -43.2328518835892, 147.256066875067 -43.2377843835801))",POINT(147.254197192007 -43.2310902116557)
Cambridge (Tas.),"POLYGON((147.458835434987 -42.8384071490996, 147.458835435009 -42.829872269177, 147.442025309979 -42.8384071491027, 147.458835434987 -42.8384071490996))",POINT(147.453232317948 -42.8355624623536)
Savage River,"POLYGON((145.224114960025 -41.5102325214965, 145.213874194975 -41.4848675215966, 145.203633430046 -41.4764125216375, 145.203633430044 -41.4848675215924, 145.213874194979 -41.5102325214923, 145.224114960025 -41.5102325214965))",POINT(145.212897353257 -41.4953347045501)
Port Huon,"LINESTRING(146.960902604994 -43.1550061586002, 146.963669562476 -43.1550061919471, 146.966436519958 -43.1550061586209)",POINT(146.963669562476 -43.1550061919471)
Trevallyn,"POLYGON((147.119127064947 -41.4381194339593, 147.119127065008 -41.4329571941132, 147.113184439979 -41.4329571941209, 147.113184440016 -41.4381194339676, 147.119127064947 -41.4381194339593))",POINT(147.116155752391 -41.4355383180887)
Montagu Bay,"POLYGON((147.361918914992 -42.8648055419567, 147.361918914973 -42.8641842626579, 147.360369790001 -42.8635629872881, 147.35417328488 -42.8629417120336, 147.352624160214 -42.8641842625174, 147.355722409932 -42.864805541697, 147.361918914992 -42.8648055419567))",POINT(147.357250890372 -42.8640269192316)
Strahan,"LINESTRING(145.335752874998 -42.1444980994251, 145.325598750005 -42.1444985470809, 145.315444625011 -42.144498099431)",POINT(145.325598750005 -42.1444985470809)
Forthside,"POLYGON((146.283136019964 -41.2155003627479, 146.283136019977 -41.2153182208533, 146.281794055054 -41.2153182214071, 146.280452090124 -41.2153546370766, 146.277768160181 -41.2154275060217, 146.27642620003 -41.215463929536, 146.273742269926 -41.2155367697966, 146.273742269798 -41.2155732260526, 146.277768159981 -41.2155732244821, 146.281794054959 -41.2155367832807, 146.283136019964 -41.2155003627479))",POINT(146.279405413834 -41.2154693870748)
Legana,"POLYGON((147.050423689981 -41.3605906877994, 147.040297310024 -41.360590687797, 147.040297310023 -41.3667214378395, 147.050423689981 -41.3605906877994))",POINT(147.04367287617 -41.3626343697456)
Upper Burnie,POINT(145.897508839875 -41.0747853096851),POINT(145.897508839875 -41.0747853096851)
Upper Woodstock,"POLYGON((147.071521895195 -43.0805517797263, 147.071828029118 -43.0799635445721, 147.071828029593 -43.0793753094076, 147.071215760436 -43.0787870698662, 147.070603480488 -43.0781988297462, 147.070297339296 -43.0781988297605, 147.070603479842 -43.0799635445005, 147.070909620521 -43.0805517798588, 147.071521895195 -43.0805517797263))",POINT(147.071064721602 -43.0794772600889)
Bream Creek,"POLYGON((147.851768969997 -42.815767452888, 147.851768970028 -42.8093394727124, 147.851768970029 -42.8061254879102, 147.847304110014 -42.8029115025955, 147.84283924492 -42.8029115025944, 147.838374380012 -42.8029115025723, 147.833909519997 -42.80291150256, 147.829444655035 -42.8029115025998, 147.824979790081 -42.8029115026075, 147.820514929939 -42.8061254879413, 147.820514929971 -42.8157674528975, 147.820514930018 -42.8254094127231, 147.833909519976 -42.82540941272, 147.84283924493 -42.8221954277934, 147.851768969997 -42.815767452888))",POINT(147.834948197972 -42.8134377280459)
Summerhill,"POLYGON((147.128865000067 -41.4672803830807, 147.128865000055 -41.465413633448, 147.125435000017 -41.4635468833043, 147.125434999998 -41.4654136334115, 147.128865000067 -41.4672803830807))",POINT(147.127149983331 -41.4654136459676)
